#Name		c1			c2			c3			c4
CoRoT-13b		 1.31014766		-2.24193740		 2.82794555		-1.14756158
HATS-5b		 1.28167889		-2.10789276		 2.66252720		-1.05151099
NGTS-1b		 1.19009154		-1.08962984		 1.14239234		-0.42134408
WASP-153b		 1.59630360		-2.97528987		 3.56947805		-1.40459173
HATS-16b		 1.57809502		-2.91159982		 3.50686198		-1.37790922
CoRoT-18b		 1.28412907		-2.12275782		 2.67742129		-1.06078847
WASP-135b		 1.27889006		-2.13983648		 2.69186721		-1.07446745
HATS-39b		 1.63848115		-3.13353512		 3.71334290		-1.46464055
HATS-70b		 1.83764155		-3.58948346		 4.06048218		-1.59464336
WASP-4b		 1.28412907		-2.12275782		 2.67742129		-1.06078847
TOI-837b		 1.31492721		-2.25323958		 2.82907539		-1.14933017
HATS-33b		 1.27889006		-2.13983648		 2.69186721		-1.07446745
CoRoT-12b		 1.27889006		-2.13983648		 2.69186721		-1.07446745
HATS-55b		 1.32113396		-2.28900911		 2.86566284		-1.16746580
WASP-159b		 1.59890702		-3.00003562		 3.59418158		-1.41660392
TOI-169b		 1.31014766		-2.24193740		 2.82794555		-1.14756158
WASP-150b		 1.60960203		-3.03657396		 3.63088201		-1.43178798
WASP-119b		 1.27504103		-2.12630405		 2.68192896		-1.06889988
WASP-48b		 1.59630360		-2.97528987		 3.56947805		-1.40459173
HATS-6b		 1.29667493		-1.12355712		 1.04530493		-0.38156043
HAT-P-21b		 1.27504103		-2.12630405		 2.68192896		-1.06889988
WASP-7b		 1.63070189		-3.10339651		 3.69032511		-1.45473246
WASP-136b		 1.62537069		-3.08103505		 3.66901056		-1.44559376
HD219666b		 1.27333226		-2.11143360		 2.66636616		-1.05992908
LHS3844b		 1.14393728		-0.10241179		-0.15025858		 0.07141291
WASP-42b		 1.28167889		-2.10789276		 2.66252720		-1.05151099
WASP-113b		 1.59630360		-2.97528987		 3.56947805		-1.40459173
KELT-7b		 1.34492068		-2.40963478		 2.98779172		-1.22130733
WASP-141b		 1.31014766		-2.24193740		 2.82794555		-1.14756158
KPS-1b		 1.27822308		-2.09522838		 2.65228260		-1.04400740
HATS-47b		 1.22633136		-1.95582245		 2.50952293		-0.94795094
LHS1815b		 1.26324335		-0.82236558		 0.55304494		-0.17373314
WASP-95b		 1.30699572		-2.21701303		 2.79302609		-1.13020018
TOI-132b		 1.28412907		-2.12275782		 2.67742129		-1.06078847
K2-237b		 1.32382940		-2.28481099		 2.86088700		-1.16326548
XO-6b		 1.64605733		-3.15633645		 3.73319095		-1.47333082
WASP-35b		 1.31492721		-2.25323958		 2.82907539		-1.14933017
HATS-68b		 1.59890702		-3.00003562		 3.59418158		-1.41660392
HAT-P-55b		 1.30699572		-2.21701303		 2.79302609		-1.13020018
KELT-24b		 1.31677718		-2.31462772		 2.89636323		-1.18508680
WASP-124b		 1.31492721		-2.25323958		 2.82907539		-1.14933017
HATS-28b		 1.27333226		-2.11143360		 2.66636616		-1.05992908
WASP-142b		 1.60206150		-2.99834835		 3.59112608		-1.41395382
WASP-13b		 1.60206150		-2.99834835		 3.59112608		-1.41395382
HAT-P-70b		 1.96174251		-3.85941951		 4.25127125		-1.64341138
WASP-50b		 1.28412907		-2.12275782		 2.67742129		-1.06078847
HAT-P-9b		 1.32169547		-2.31675131		 2.89766216		-1.18392782
WASP-19b		 1.27504103		-2.12630405		 2.68192896		-1.06889988
HATS-44b		 1.26273859		-2.05444257		 2.61318995		-1.02559714
WASP-96b		 1.27333226		-2.11143360		 2.66636616		-1.05992908
WASP-101b		 1.32169547		-2.31675131		 2.89766216		-1.18392782
HATS-22b		 1.23332577		-1.96717975		 2.52693441		-0.97637024
WASP-167b		 1.67083161		-3.22364725		 3.78904027		-1.49794884
TOI-157b		 1.28412907		-2.12275782		 2.67742129		-1.06078847
WASP-17b		 1.63712649		-3.12290805		 3.70608483		-1.46129041
TOI-677b		 1.31649989		-2.28950837		 2.86994018		-1.17181122
WASP-169b		 1.59890702		-3.00003562		 3.59418158		-1.41660392
KELT-20b		 1.63875078		-3.10267101		 3.47670954		-1.35967344
WASP-120b		 1.63712649		-3.12290805		 3.70608483		-1.46129041
WASP-71b		 1.60206150		-2.99834835		 3.59112608		-1.41395382
HAT-P-18b		 1.23332577		-1.96717975		 2.52693441		-0.97637024
HAT-P-12b		 1.23243419		-2.07318957		 2.70266843		-1.05327904
XO-1b		 1.30699572		-2.21701303		 2.79302609		-1.13020018
TOI-251b		 1.31014766		-2.24193740		 2.82794555		-1.14756158
HATS-26b		 1.59890702		-3.00003562		 3.59418158		-1.41660392
HATS-40b		 1.63712649		-3.12290805		 3.70608483		-1.46129041
CoRoTID223977153b		 1.31492721		-2.25323958		 2.82907539		-1.14933017
WASP-92b		 1.31649989		-2.28950837		 2.86994018		-1.17181122
WASP-105b		 1.51475394		-2.67732392		 3.24876215		-1.25696539
TOI-237b		 1.46135960		-1.03537264		 0.70087382		-0.21557885
HAT-P-34b		 1.63070189		-3.10339651		 3.69032511		-1.45473246
WASP-72b		 1.62537069		-3.08103505		 3.66901056		-1.44559376
HATS-66b		 1.63848115		-3.13353512		 3.71334290		-1.46464055
HATS-25b		 1.27889006		-2.13983648		 2.69186721		-1.07446745
TOI-1235b		 1.19009154		-1.08962984		 1.14239234		-0.42134408
WASP-31b		 1.31649989		-2.28950837		 2.86994018		-1.17181122
WASP-78b		 1.58839350		-3.02297362		 3.65185135		-1.46405676
HATS-43b		 1.26273859		-2.05444257		 2.61318995		-1.02559714
WASP-91b		 1.24378564		-1.98934544		 2.55096776		-0.99233366
WASP-106b		 1.59890702		-3.00003562		 3.59418158		-1.41660392
WASP-132b		 1.23332577		-1.96717975		 2.52693441		-0.97637024
WASP-63b		 1.59100415		-2.92429822		 3.51402069		-1.37624024
HAT-P-43b		 1.27504103		-2.12630405		 2.68192896		-1.06889988
K2-261b		 1.57303156		-2.86636654		 3.45073757		-1.34873296
HATS-2b		 1.27822308		-2.09522838		 2.65228260		-1.04400740
WASP-117b		 1.31492721		-2.25323958		 2.82907539		-1.14933017
HAT-P-66b		 1.60206150		-2.99834835		 3.59112608		-1.41395382
WASP-46b		 1.21330934		-2.08799789		 2.75155030		-1.14350276
Qatar-1b		 1.26273859		-2.05444257		 2.61318995		-1.02559714
HATS-34b		 1.28412907		-2.12275782		 2.67742129		-1.06078847
WASP-138b		 1.31649989		-2.28950837		 2.86994018		-1.17181122
WASP-29b		 1.23332577		-1.96717975		 2.52693441		-0.97637024
WASP-131b		 1.60206150		-2.99834835		 3.59112608		-1.41395382
WASP-83b		 1.27333226		-2.11143360		 2.66636616		-1.05992908
HATS-18b		 1.27504103		-2.12630405		 2.68192896		-1.06889988
HATS-51b		 1.58513891		-2.93740234		 3.53156761		-1.38891288
KELT-14b		 1.57809502		-2.91159982		 3.50686198		-1.37790922
