#Name		c1			c2			c3			c4
WASP-61b	2.425635690816143	-4.171389805581695	4.2074922750279065	-1.4976956025709893
WASP-130b	2.071036708081953	-3.4261653578937095	3.5597428122765638	-1.2710270461094986
HATS-13b	2.043214681093816	-3.367828162315454	3.513836131399336	-1.2549804124239106
WASP-156b	1.8650749872739938	-2.992786122327738	3.2235682582707215	-1.1472003486587323
NGTS-4b	2.0851252569384684	-3.443305615710546	3.6015033048061147	-1.2760222493652282
WASP-190b	2.562445809764583	-4.431529574655911	4.404753652907458	-1.5510374058987013
WASP-44b	2.0715467048542795	-3.416761974646655	3.5591706456323737	-1.267099636886723
TOI-892b	2.419630210789692	-4.160064751485797	4.1970219109803315	-1.4941049037624468
WASP-82b	3.037710360626804	-5.335819306807068	5.144300658083065	-1.7701702100652783
TOI-540b	3.9756948153312397	-6.4581875557646935	5.717509290375188	-1.907961086631439
WASP-22b	2.1174	-3.5363	3.6702	-1.3324
TOI-905b	2.066292036264616	-3.4157514547073164	3.553514655808578	-1.268303679821305
HAT-P-42b	2.5508567319021136	-4.382771058973625	4.387715069666755	-1.5392923791038664
WASP-62b	2.1940518162078577	-3.712530456837826	3.8260723878447274	-1.3873021145005342
HATS-3b	2.4757202214811835	-4.266876677655429	4.275199210100551	-1.514517043607238
LTT9779b	2.23864404572357	-3.756561214904009	3.8566649049911783	-1.363477835668421
K2-260b	2.5820128622887726	-4.473046864488721	4.4436749071862796	-1.5629366553781157
TrES-3b	1.9797210519399944	-3.241677905695943	3.3986727873824902	-1.2212565136239022
Qatar-10b	2.3512518988250846	-4.017280513755085	4.0818217454064545	-1.4589438558738048
WASP-144b	2.0418656369455537	-3.3541403071799634	3.5186887631859616	-1.2503484926074153
HD221416b	3.8540544501758633	-6.845820786646974	6.461075835018778	-2.1567884320419233
WASP-182b	2.417642689261083	-4.120431063519229	4.161599356251718	-1.4617287828883285
HAT-P-5b	2.2434651919696953	-3.7880339515358137	3.8847567563358023	-1.3947934706565515
WASP-15b	2.3097817590699616	-3.9427225468356486	4.016116788933909	-1.4429586367645157
WASP-73b	3.0848478166589297	-5.445525328524397	5.290085585645479	-1.8248510056451965
HD1397b	3.3083209912244564	-5.848381960755847	5.645567565982345	-1.930093962772213
K2-115b	2.027138336050056	-3.3376121954938003	3.479960727167878	-1.2456236732168366
WASP-161b	2.6715267205076225	-4.642347650389564	4.579469924619143	-1.6024538299349518
HATS-24b	2.2737147644885076	-3.863633736568474	3.953353522885349	-1.4219809895594424
WASP-79b	2.5449246757667905	-4.395208669471622	4.362396163753321	-1.5392386719853943
XO-3b	3.0880743876395584	-5.4381369289639245	5.240880368314284	-1.8032320027749489
KELT-8b	2.6528398403267315	-4.581154411136423	4.553814435514548	-1.5898227304177026
HATS-42b	2.4809999074327083	-4.267480071572928	4.290758427610228	-1.5182591529513618
HAT-P-36b	2.1510731909693486	-3.5881784389022533	3.7013464113269605	-1.315789314996721
KELT-1b	2.4272745793658554	-4.152584059705905	4.152010857364178	-1.47152911774134
WASP-16b	2.0852600656000706	-3.456590495591258	3.582760849643284	-1.2794816764767714
WASP-99b	2.346562025145049	-4.007762649897999	4.071690154670658	-1.4556813440502734
HD2685b	2.531377131126427	-4.360976008780306	4.31433935173556	-1.521961840617245
WASP-121b	2.474060814902929	-4.244448893712804	4.236132667624017	-1.4992852436059179
HAT-P-50b	2.757689497019991	-4.817162303771002	4.743125489282584	-1.6557664337959994
TOI-954b	2.9060623588702357	-5.06898004680766	4.968825328553229	-1.7182036478630751
HATS-27b	2.7061508786166972	-4.699458698402198	4.61939922499601	-1.613769055464545
WASP-93b	2.536735028601025	-4.372755232285245	4.331262719956239	-1.5273596120744686
HATS-41b	2.6366527285625483	-4.567947288725009	4.512151941785265	-1.5818582727514063
HATS-29b	2.1859634088570203	-3.6582708983227272	3.7566220269806427	-1.3319296421761644
HATS-60b	2.510158978776783	-4.300453242889499	4.312151555644569	-1.509592217904121
HAT-P-2b	2.5683546570812523	-4.445539388111234	4.419218561391132	-1.5555430448945713
WASP-97b	2.1160054534722295	-3.5172198702781	3.637080526695163	-1.2948064359743219
HATS-45b	2.3724071858390814	-4.049516094169119	4.076124309012812	-1.452352956440172
WASP-166b	2.289809045654323	-3.888430891000803	3.970747297534202	-1.4230873764310292
HATS-63b	2.2365975601879704	-3.7598080464296384	3.8495718361592153	-1.362476774082942
HAT-P-31b	2.388353547217097	-4.085757625474606	4.137450872466318	-1.4725042427623085
TOI-1728b	2.308504711722553	-3.287525237685026	3.02542039550831	-1.013050596640796
L168-9b	3.110982898471426	-5.044791166576413	4.715596868824237	-1.5728220142035378
HATS-46b	2.0165340409997796	-3.3124369901218746	3.466000051223034	-1.238851329777196
TOI-481b	2.6879701563507377	-4.648064744836924	4.61062262184387	-1.6067710327532898
LP714-47b	2.3395627536532047	-3.3417641574335835	3.069339907671633	-1.029673369183727
XO-7b	2.44181737485896	-4.202981662258786	4.233922842891369	-1.5055569514967853
HATS-69b	2.0850860089138332	-3.443373701421207	3.602009509395865	-1.276042584799151
TOI-824b	1.8491444132221007	-3.023842562487684	3.3017412047805483	-1.1674027979195771
HATS-14b	2.094512872772193	-3.46047148660618	3.6019677835935067	-1.2800195783114403
HAT-P-69b	2.7227641284087487	-4.613626778074463	4.3843857257943135	-1.5116900948966874
HATS-7b	1.9555183117506103	-3.1762987096233624	3.3793022211027113	-1.2001888631708566
WASP-6b	1.9385099547389941	-3.1508219318811657	3.323930373120772	-1.1910131990215902
