				u1				u2
Claret(2017), PHOENIX - q method		-0.034287372652310376 +/- 0.017585806801339414		0.07057560399607107 +/- 0.021843739304619116
Claret(2017), PHOENIX - r method		-0.019995362139848705 +/- 0.01773552854273579		0.042227673177288705 +/- 0.0217093109310266
Claret(2017), ATLAS		-0.08395706067057604 +/- 0.01751291193802814		0.09299990752396661 +/- 0.022063603732671952
EJ(2015), PHOENIX		-0.019883300703019705 +/- 0.01778265671281045		0.043526905377974615 +/- 0.021434557875889732
EJ(2015), ATLAS			-0.0752604702950666 +/- 0.017708044328618416		0.10104774304446965 +/- 0.02175527632655748
