Title: Empirical limb-darkening coefficients & transit parameters of known
       exoplanets from TESS
Authors: Jayshil A. Patel and Néstor Espinoza
Table: SPAM limb darkening coefficients calculated using different methods
       for quadratic law;
================================================================================
Byte-by-byte Description of file: spam_ldc_ascii_mrt.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
 1- 8  A8     ---    name         Name of the host star                         
10-13  F4.2   ---    u1_code_ata  [0.16/0.58] u1 from EJ15 ATLAS                
15-18  F4.2   ---    u2_code_ata  [0.06/0.47] u2 from EJ15 ATLAS                
20-23  F4.2   ---    u1_code_pho  [0.17/0.55] u1 from EJ15 PHOENIX              
25-28  F4.2   ---    u2_code_pho  [0.09/0.47] u2 from EJ15 PHOENIX              
30-34  F5.2   ---    u1_cla_ata   [-0.09/0.55] u1 from C17 ATLAS                
36-40  F5.2   ---    u2_cla_ata   [-0.01/0.5] u2 from C17 ATLAS                 
42-45  F4.2   ---    u1_cla_pho   [0.16/0.54] u1 from C17 PHOENIX               
47-50  F4.2   ---    u2_cla_pho   [0.11/0.47] u2 from C17 PHOENIX               
52-55  F4.2   ---    u1_cla_pho_r [0.16/0.54] u1 from C17 PHOENIX, with r-method
57-60  F4.2   ---    u2_cla_pho_r [0.11/0.47] u2 from C17 PHOENIX, with r-method
--------------------------------------------------------------------------------
Notes: EJ15 means the LDCs calculated using the method by Espinoza & Jordan 
       (2015) and C17 implies the tabulated values from Claret (2017), with 
       their r-method (C17r) and q-method (C17q) when using phoenix models.
--------------------------------------------------------------------------------
TOI-1728 0.51 0.12 0.28 0.35  0.50  0.13 0.27 0.34 0.27 0.34
L168-9   0.45 0.46 0.45 0.46  0.49  0.49 0.45 0.46 0.45 0.46
HATS-46  0.37 0.19 0.43 0.13  0.38  0.19 0.42 0.15 0.42 0.15
TOI-481  0.26 0.35 0.27 0.36  0.26  0.35 0.28 0.36 0.28 0.36
LP714-47 0.58 0.06 0.38 0.20  0.54  0.10 0.26 0.33 0.26 0.33
XO-7     0.28 0.25 0.36 0.16  0.29  0.24 0.35 0.18 0.35 0.18
HATS-69  0.44 0.15 0.46 0.13  0.47  0.14 0.46 0.14 0.46 0.14
TOI-824  0.33 0.37 0.33 0.37  0.33  0.37 0.33 0.37 0.33 0.37
HATS-14  0.44 0.16 0.44 0.14  0.43  0.16 0.43 0.15 0.43 0.15
HAT-P-69 0.17 0.28 0.31 0.15  0.17  0.28 0.29 0.19 0.29 0.19
HATS-7   0.48 0.13 0.50 0.11  0.49  0.13 0.48 0.13 0.48 0.13
WASP-6   0.37 0.20 0.42 0.14  0.38  0.19 0.42 0.15 0.42 0.15
WASP-66  0.20 0.28 0.23 0.30  0.20  0.28 0.24 0.31 0.24 0.31
WASP-25  0.33 0.21 0.39 0.16  0.34  0.21 0.39 0.17 0.39 0.17
WASP-43  0.53 0.10 0.55 0.09  0.54  0.10 0.54 0.11 0.54 0.11
GJ1252   0.28 0.34 0.26 0.32 -0.03  0.11 0.26 0.33 0.26 0.33
KELT-12  0.23 0.29 0.38 0.13  0.23  0.29 0.25 0.31 0.25 0.31
TOI-122  0.24 0.31 0.23 0.30 -0.07  0.08 0.23 0.30 0.23 0.30
HATS-57  0.40 0.18 0.42 0.14  0.39  0.19 0.41 0.15 0.41 0.15
HATS-4   0.42 0.17 0.43 0.14  0.43  0.17 0.43 0.15 0.43 0.15
HD332231 0.24 0.34 0.36 0.16  0.23  0.33 0.37 0.17 0.37 0.17
CoRoT-19 0.23 0.33 0.39 0.13  0.30  0.21 0.38 0.16 0.38 0.16
HATS-17  0.27 0.33 0.26 0.33  0.26  0.33 0.26 0.33 0.26 0.33
HATS-71  0.30 0.27 0.24 0.30  0.00 -0.00 0.25 0.30 0.25 0.30
WASP-5   0.35 0.21 0.41 0.14  0.35  0.20 0.40 0.16 0.40 0.16
HATS-32  0.37 0.20 0.41 0.14  0.38  0.19 0.41 0.15 0.41 0.15
KELT-11  0.27 0.34 0.28 0.34  0.28  0.34 0.29 0.35 0.29 0.35
CoRoT-13 0.24 0.32 0.39 0.15  0.32  0.22 0.37 0.17 0.37 0.17
HATS-5   0.44 0.16 0.44 0.14  0.43  0.16 0.44 0.14 0.44 0.14
NGTS-1   0.39 0.23 0.27 0.32  0.28  0.34 0.26 0.32 0.26 0.32
WASP-153 0.31 0.22 0.40 0.14  0.33  0.22 0.38 0.18 0.38 0.18
HATS-16  0.32 0.22 0.42 0.13  0.33  0.22 0.39 0.17 0.39 0.17
CoRoT-18 0.37 0.19 0.43 0.14  0.38  0.19 0.42 0.15 0.42 0.15
WASP-135 0.33 0.22 0.41 0.14  0.35  0.21 0.39 0.17 0.39 0.17
HATS-39  0.21 0.28 0.37 0.13  0.21  0.28 0.34 0.18 0.34 0.18
HATS-70  0.18 0.30 0.18 0.30  0.17  0.29 0.19 0.30 0.19 0.30
WASP-4   0.38 0.19 0.43 0.14  0.39  0.18 0.43 0.15 0.43 0.15
TOI-837  0.24 0.30 0.25 0.30  0.24  0.29 0.26 0.31 0.26 0.31
HATS-33  0.37 0.20 0.41 0.14  0.38  0.19 0.41 0.15 0.41 0.15
CoRoT-12 0.35 0.21 0.41 0.14  0.36  0.20 0.40 0.16 0.40 0.16
HATS-55  0.28 0.23 0.36 0.16  0.28  0.23 0.35 0.18 0.35 0.18
WASP-159 0.24 0.34 0.39 0.14  0.23  0.33 0.26 0.35 0.26 0.35
TOI-169  0.25 0.31 0.26 0.31  0.26  0.31 0.26 0.32 0.26 0.32
WASP-150 0.23 0.29 0.25 0.30  0.23  0.29 0.25 0.31 0.25 0.31
WASP-119 0.36 0.20 0.41 0.14  0.37  0.19 0.41 0.15 0.41 0.15
WASP-48  0.29 0.23 0.40 0.14  0.30  0.22 0.38 0.17 0.38 0.17
HATS-6   0.40 0.20 0.28 0.27  0.40  0.21 0.27 0.28 0.27 0.28
HAT-P-21 0.38 0.19 0.42 0.14  0.36  0.20 0.41 0.16 0.41 0.16
WASP-7   0.28 0.19 0.37 0.15  0.29  0.20 0.36 0.16 0.36 0.16
WASP-136 0.23 0.29 0.25 0.30  0.22  0.28 0.26 0.31 0.26 0.31
HD219666 0.28 0.34 0.28 0.34  0.28  0.34 0.28 0.34 0.28 0.34
LHS3844  0.24 0.34 0.30 0.37 -0.09  0.13 0.26 0.35 0.26 0.35
WASP-42  0.44 0.16 0.44 0.13  0.43  0.17 0.43 0.15 0.43 0.15
WASP-113 0.24 0.31 0.41 0.13  0.25  0.31 0.38 0.17 0.38 0.17
KELT-7   0.20 0.27 0.33 0.16  0.20  0.27 0.32 0.19 0.32 0.19
WASP-141 0.33 0.21 0.39 0.15  0.34  0.21 0.39 0.16 0.39 0.16
KPS-1    0.43 0.17 0.45 0.13  0.44  0.16 0.44 0.16 0.44 0.16
HATS-47  0.53 0.10 0.54 0.09  0.52  0.11 0.52 0.11 0.52 0.11
LHS1815  0.44 0.45 0.44 0.45  0.50  0.50 0.44 0.46 0.44 0.46
WASP-95  0.36 0.19 0.38 0.16  0.35  0.20 0.39 0.17 0.39 0.17
TOI-132  0.31 0.36 0.31 0.36  0.32  0.36 0.31 0.36 0.31 0.36
K2-237   0.30 0.22 0.37 0.16  0.29  0.22 0.36 0.18 0.36 0.18
XO-6     0.23 0.23 0.36 0.14  0.23  0.23 0.33 0.18 0.33 0.18
WASP-35  0.31 0.21 0.37 0.16  0.31  0.21 0.37 0.17 0.37 0.17
HATS-68  0.23 0.30 0.40 0.13  0.24  0.30 0.36 0.18 0.36 0.18
HAT-P-55 0.34 0.21 0.39 0.16  0.34  0.21 0.38 0.17 0.38 0.17
KELT-24  0.21 0.30 0.35 0.15  0.21  0.30 0.33 0.19 0.33 0.19
WASP-124 0.30 0.22 0.37 0.16  0.30  0.22 0.36 0.18 0.36 0.18
HATS-28  0.38 0.20 0.42 0.14  0.37  0.21 0.41 0.16 0.41 0.16
WASP-142 0.30 0.24 0.40 0.13  0.30  0.24 0.36 0.19 0.36 0.19
WASP-13  0.29 0.23 0.40 0.13  0.31  0.22 0.37 0.18 0.37 0.18
HAT-P-70 0.23 0.19 0.24 0.16  0.22  0.19 0.18 0.25 0.18 0.25
WASP-50  0.38 0.19 0.43 0.14  0.40  0.18 0.42 0.16 0.42 0.16
HAT-P-9  0.28 0.23 0.35 0.16  0.22  0.29 0.35 0.18 0.35 0.18
WASP-19  0.38 0.19 0.41 0.14  0.37  0.20 0.40 0.16 0.40 0.16
HATS-44  0.47 0.14 0.46 0.13  0.47  0.14 0.45 0.15 0.45 0.15
WASP-96  0.38 0.19 0.42 0.14  0.38  0.19 0.41 0.16 0.41 0.16
WASP-101 0.25 0.24 0.35 0.16  0.26  0.24 0.34 0.18 0.34 0.18
HATS-22  0.50 0.12 0.50 0.11  0.50  0.13 0.49 0.13 0.49 0.13
WASP-167 0.19 0.28 0.34 0.13  0.19  0.28 0.30 0.20 0.30 0.20
TOI-157  0.38 0.20 0.43 0.13  0.40  0.19 0.41 0.17 0.41 0.17
WASP-17  0.25 0.23 0.37 0.14  0.25  0.23 0.34 0.18 0.34 0.18
TOI-677  0.28 0.22 0.36 0.16  0.28  0.22 0.36 0.17 0.36 0.17
WASP-169 0.24 0.33 0.26 0.34  0.23  0.32 0.26 0.34 0.26 0.34
KELT-20  0.22 0.18 0.24 0.15  0.22  0.18 0.16 0.25 0.16 0.25
WASP-120 0.21 0.29 0.38 0.13  0.21  0.29 0.34 0.19 0.34 0.19
WASP-71  0.24 0.30 0.26 0.31  0.24  0.30 0.26 0.32 0.26 0.32
HAT-P-18 0.50 0.12 0.50 0.11  0.50  0.12 0.49 0.13 0.49 0.13
HAT-P-12 0.48 0.13 0.51 0.10  0.50  0.12 0.52 0.11 0.52 0.11
XO-1     0.35 0.20 0.38 0.16  0.35  0.20 0.39 0.17 0.39 0.17
TOI-251  0.31 0.35 0.32 0.35  0.31  0.35 0.32 0.35 0.32 0.35
HATS-26  0.31 0.21 0.39 0.13  0.30  0.21 0.39 0.16 0.39 0.16
HATS-40  0.20 0.31 0.24 0.33  0.21  0.31 0.25 0.34 0.25 0.34
